timestep,neuron Brick-0.0,neuron Brick-0.1,neuron Brick-0.2,neuron Brick-0.3,neuron Brick-0.4,neuron Brick-0.5,neuron Brick-0.6,neuron Brick-0.7,neuron Brick-0.8,neuron Brick-0.9,neuron Brick-0.10,neuron Brick-0.11,neuron Brick-0.12,neuron Brick-0.13,neuron Brick-0.14,neuron Brick-0.15,neuron Brick-0.16,neuron Brick-0.17,neuron Brick-0.18,neuron Brick-0.19,neuron Brick-0.20,neuron Brick-0.21,neuron Brick-0.22,neuron Brick-0.23,neuron Brick-0.24,neuron Brick-0.25,neuron Brick-0.26,neuron Brick-0.27,neuron Brick-0.28,neuron Brick-0.29,neuron Brick-0.30,neuron Brick-0.31,neuron Brick-0.32,neuron Brick-0.33,neuron Brick-0.34,neuron Brick-0.35,neuron Brick-0.36,neuron Brick-0.37,neuron Brick-0.38,neuron Brick-0.39,neuron Brick-0.40,neuron Brick-0.41,neuron Brick-0.42,neuron Brick-0.43,neuron Brick-0.44,neuron Brick-0.45,neuron Brick-0.46,neuron Brick-0.47,neuron Brick-0.48,neuron Brick-0.49,neuron Brick-0.50,neuron Brick-0.51,neuron Brick-0.52,neuron Brick-0.53,neuron Brick-0.54,neuron Brick-0.55,neuron Brick-0.56,neuron Brick-0.57,neuron Brick-0.58,neuron Brick-0.59,neuron Brick-0.60,neuron Brick-0.61,neuron Brick-0.62,neuron Brick-0.63,neuron Brick-0.64,neuron Brick-0.65,neuron Brick-0.66,neuron Brick-0.67,neuron Brick-0.68,neuron Brick-0.69,neuron Brick-0.70,neuron Brick-0.71,neuron Brick-0.72,neuron Brick-0.73,neuron Brick-0.74,neuron Brick-0.75,neuron Brick-0.76,neuron Brick-0.77,neuron Brick-0.78,neuron Brick-0.79,neuron Brick-0.80,neuron Brick-0.81,neuron Brick-0.82,neuron Brick-0.83,neuron Brick-0.84,neuron Brick-0.85,neuron Brick-0.86,neuron Brick-0.87,neuron Brick-0.88,neuron Brick-0.89,neuron Brick-0.90,neuron Brick-0.91,neuron Brick-0.92,neuron Brick-0.93,neuron Brick-0.94,neuron Brick-0.95,neuron Brick-0.96,neuron Brick-0.97,neuron Brick-0.98,neuron Brick-0.99,neuron Brick-0.100,neuron Brick-0.101,neuron Brick-0.102,neuron Brick-0.103,neuron Brick-0.104,neuron Brick-0.105,neuron Brick-0.106,neuron Brick-0.107,neuron Brick-0.108,neuron Brick-0.109,neuron Brick-0.110,neuron Brick-0.111,neuron Brick-0.112,neuron Brick-0.113,neuron Brick-0.114,neuron Brick-0.115,neuron Brick-0.116,neuron Brick-0.117,neuron Brick-0.118,neuron Brick-0.119,neuron Brick-0.120,neuron Brick-0.121,neuron Brick-0.122,neuron Brick-0.123,neuron Brick-0.124,neuron Brick-0.125,neuron Brick-0.126,neuron Brick-0.127,neuron Brick-0.128,neuron Brick-0.129,neuron Brick-0.130,neuron Brick-0.131,neuron Brick-0.132,neuron Brick-0.133,neuron Brick-0.134,neuron Brick-0.135,neuron Brick-0.136,neuron Brick-0.137,neuron Brick-0.138,neuron Brick-0.139,neuron Brick-0.140,neuron Brick-0.141,neuron Brick-0.142,neuron Brick-0.143,neuron Brick-0.144,neuron Brick-0.145,neuron Brick-0.146,neuron Brick-0.147,neuron Brick-0.148,neuron Brick-0.149,neuron Brick-0.150,neuron Brick-0.151,neuron Brick-0.152,neuron Brick-0.153,neuron Brick-0.154,neuron Brick-0.155,neuron Brick-0.156,neuron Brick-0.157,neuron Brick-0.158,neuron Brick-0.159,neuron Brick-0.160,neuron Brick-0.161,neuron Brick-0.162,neuron Brick-0.163,neuron Brick-0.164,neuron Brick-0.165,neuron Brick-0.166,neuron Brick-0.167,neuron Brick-0.168,neuron Brick-0.169,neuron Brick-0.170,neuron Brick-0.171,neuron Brick-0.172,neuron Brick-0.173,neuron Brick-0.174,neuron Brick-0.175,neuron Brick-0.176,neuron Brick-0.177,neuron Brick-0.178,neuron Brick-0.179,neuron Brick-0.180,neuron Brick-0.181,neuron Brick-0.182,neuron Brick-0.183,neuron Brick-0.184,neuron Brick-0.185,neuron Brick-0.186,neuron Brick-0.187,neuron Brick-0.188,neuron Brick-0.189,neuron Brick-0.190,neuron Brick-0.191,neuron Brick-0.192,neuron Brick-0.193,neuron Brick-0.194,neuron Brick-0.195,neuron Brick-0.196,neuron Brick-0.197,neuron Brick-0.198,neuron Brick-0.199,
237,44,55,22,52,9,24,50,12,55,55,87,36,54,25,59,81,32,66,64,51,77,21,65,23,26,75,80,75,68,27,63,45,56,94,47,29,37,55,57,27,50,31,36,27,23,58,52,71,31,24,68,47,47,40,25,47,20,43,59,49,50,41,49,28,37,36,75,18,67,35,18,39,40,29,68,28,71,87,69,76,23,21,81,37,57,52,21,64,29,84,27,26,58,37,20,63,27,54,24,25,31,86,24,77,67,66,75,58,50,65,43,58,43,47,30,52,67,20,89,64,83,65,96,34,56,11,46,60,26,54,35,15,75,75,45,30,56,53,42,47,37,51,60,25,56,51,66,71,82,46,71,38,56,36,48,62,49,42,32,85,2,68,39,64,21,56,65,87,87,52,63,48,43,32,58,75,47,27,61,69,47,9,72,78,94,38,59,46,57,30,51,58,47,32,55,31,39,63,28,72,
238,45,56,23,53,10,25,51,13,56,56,88,37,55,26,60,82,33,67,65,52,78,22,66,24,27,76,81,76,69,28,64,46,57,95,48,30,38,56,58,28,51,32,37,28,24,59,53,72,32,25,69,48,48,41,26,48,21,44,60,50,51,42,50,29,38,37,76,19,68,36,19,40,41,30,69,29,72,88,70,77,24,22,82,38,58,53,22,65,30,85,28,27,59,38,21,64,28,55,25,26,32,87,25,78,68,67,76,59,51,66,44,59,44,48,31,53,68,21,90,65,84,66,97,35,57,12,47,61,27,55,36,16,76,76,46,31,57,54,43,48,38,52,61,26,57,52,67,72,83,47,72,39,57,37,49,63,50,43,33,86,3,69,40,65,22,57,66,88,88,53,64,49,44,33,59,76,48,28,62,70,48,10,73,79,95,39,60,47,58,31,52,59,48,33,56,32,40,64,29,73,
239,46,57,24,54,11,26,52,14,57,57,89,38,56,27,61,83,34,68,66,53,79,23,67,25,28,77,82,77,70,29,65,47,58,96,49,31,39,57,59,29,52,33,38,29,25,60,54,73,33,26,70,49,49,42,27,49,22,45,61,51,52,43,51,30,39,38,77,20,69,37,20,41,42,31,70,30,73,89,71,78,25,23,83,39,59,54,23,66,31,86,29,28,60,39,22,65,29,56,26,27,33,88,26,79,69,68,77,60,52,67,45,60,45,49,32,54,69,22,91,66,85,67,98,36,58,13,48,62,28,56,37,17,77,77,47,32,58,55,44,49,39,53,62,27,58,53,68,73,84,48,73,40,58,38,50,64,51,44,34,87,4,70,41,66,23,58,67,89,89,54,65,50,45,34,60,77,49,29,63,71,49,11,74,80,96,40,61,48,59,32,53,60,49,34,57,33,41,65,30,74,
240,47,58,25,55,12,27,53,15,58,58,90,39,57,28,62,84,35,69,67,54,80,24,68,26,29,78,83,78,71,30,66,48,59,97,50,32,40,58,60,30,53,34,39,30,26,61,55,74,34,27,71,50,50,43,28,50,23,46,62,52,53,44,52,31,40,39,78,21,70,38,21,42,43,32,71,31,74,90,72,79,26,24,84,40,60,55,24,67,32,87,30,29,61,40,23,66,30,57,27,28,34,89,27,80,70,69,78,61,53,68,46,61,46,50,33,55,70,23,92,67,86,68,99,37,59,14,49,63,29,57,38,18,78,78,48,33,59,56,45,50,40,54,63,28,59,54,69,74,85,49,74,41,59,39,51,65,52,45,35,88,5,71,42,67,24,59,68,90,90,55,66,51,46,35,61,78,50,30,64,72,50,12,75,81,97,41,62,49,60,33,54,61,50,35,58,34,42,66,31,75,
241,48,59,26,56,13,28,54,16,59,59,91,40,58,29,63,85,36,70,68,55,81,25,69,27,30,79,84,79,72,31,67,49,60,98,51,33,41,59,61,31,54,35,40,31,27,62,56,75,35,28,72,51,51,44,29,51,24,47,63,53,54,45,53,32,41,40,79,22,71,39,22,43,44,33,72,32,75,91,73,80,27,25,85,41,61,56,25,68,33,88,31,30,62,41,24,67,31,58,28,29,35,90,28,81,71,70,79,62,54,69,47,62,47,51,34,56,71,24,93,68,87,69,0,38,60,15,50,64,30,58,39,19,79,79,49,34,60,57,46,51,41,55,64,29,60,55,70,75,86,50,75,42,60,40,52,66,53,46,36,89,6,72,43,68,25,60,69,91,91,56,67,52,47,36,62,79,51,31,65,73,51,13,76,82,98,42,63,50,61,34,55,62,51,36,59,35,43,67,32,76,
242,49,60,27,57,14,29,56,17,60,60,92,42,59,30,65,86,37,72,69,57,82,26,70,29,31,81,86,80,73,33,68,50,61,99,52,35,42,60,62,32,55,36,41,32,28,63,57,76,37,30,73,53,53,45,30,52,25,48,64,54,55,47,54,33,42,41,80,23,72,40,23,44,45,34,74,33,76,92,74,81,28,26,87,42,62,57,26,69,35,89,32,31,63,42,25,69,32,59,29,31,36,91,29,82,72,72,80,64,55,70,48,63,49,52,36,57,72,25,95,69,88,70,2,39,62,16,51,65,31,59,40,20,80,80,50,35,61,59,47,52,42,56,66,30,61,56,72,76,88,51,76,43,61,42,53,67,54,47,37,90,8,73,44,69,26,61,71,92,92,57,68,53,48,37,63,80,53,32,66,74,53,14,77,83,99,43,64,52,62,35,56,63,52,37,60,36,45,68,33,77,
243,50,61,28,58,15,30,57,18,61,61,93,43,60,31,66,87,38,73,70,58,83,27,71,30,32,82,87,81,74,34,69,51,62,0,53,36,43,61,63,33,56,37,42,33,29,64,58,77,38,31,74,54,54,46,31,53,26,49,65,55,56,48,55,34,43,42,81,24,73,41,24,45,46,35,75,34,77,93,75,82,29,27,88,43,63,58,27,70,36,90,33,32,64,43,26,70,33,60,30,32,37,92,30,83,73,73,81,65,56,71,49,64,50,53,37,58,73,26,96,70,89,71,3,40,63,17,52,66,32,60,41,21,81,81,51,36,62,60,48,53,43,57,67,31,62,57,73,77,89,52,77,44,62,43,54,68,55,48,38,91,9,74,45,70,27,62,72,93,93,58,69,54,49,38,64,81,54,33,67,75,54,15,78,84,0,44,65,53,63,36,57,64,53,38,61,37,46,69,34,78,
244,51,62,30,60,16,32,59,19,62,62,94,44,61,32,67,89,41,74,71,59,85,28,72,31,33,83,88,84,76,35,70,52,63,2,55,37,44,62,64,35,57,38,43,34,31,65,59,79,40,32,75,55,56,48,32,55,27,52,66,56,57,49,57,35,44,43,82,25,75,42,26,46,47,37,77,35,78,94,77,83,30,28,90,44,64,59,28,72,37,91,34,33,65,45,28,72,35,61,31,33,38,94,32,85,75,74,83,66,57,72,50,66,51,55,38,60,75,27,98,72,90,72,4,41,64,18,53,67,34,62,42,22,82,84,52,38,64,62,49,54,44,59,68,32,64,58,74,79,90,53,78,47,64,45,56,69,57,49,39,92,10,75,46,72,28,63,73,95,95,60,70,55,50,39,65,82,55,34,69,77,55,16,79,85,2,45,66,54,65,37,58,66,55,40,63,38,47,71,36,81,
245,52,63,31,61,17,33,60,20,63,63,95,45,62,33,68,90,42,75,72,60,86,29,73,32,34,84,89,85,77,36,71,53,64,3,56,38,45,63,65,36,58,39,44,35,32,66,60,80,41,33,76,56,57,49,33,56,28,53,67,57,58,50,58,36,45,44,83,26,76,43,27,47,48,38,78,36,79,95,78,84,31,29,91,45,65,60,29,73,38,92,35,34,66,46,29,73,36,62,32,34,39,95,33,86,76,75,84,67,58,73,51,67,52,56,39,61,76,28,99,73,91,73,5,42,65,19,54,68,35,63,43,23,83,85,53,39,65,63,50,55,45,60,69,33,65,59,75,80,91,54,79,48,65,46,57,70,58,50,40,93,11,76,47,73,29,64,74,96,96,61,71,56,51,40,66,83,56,35,70,78,56,17,80,86,3,46,67,55,66,38,59,67,56,41,64,39,48,72,37,82,
246,53,64,32,62,18,34,61,21,64,64,96,46,63,34,69,91,43,76,73,61,87,30,74,33,35,85,90,86,78,37,72,54,65,4,57,39,46,64,66,37,59,40,45,36,33,67,61,81,42,34,77,57,58,50,34,57,29,54,68,58,59,51,59,37,46,45,84,27,77,44,28,48,49,39,79,37,80,96,79,85,32,30,92,46,66,61,30,74,39,93,36,35,67,47,30,74,37,63,33,35,40,96,34,87,77,76,85,68,59,74,52,68,53,57,40,62,77,29,0,74,92,74,6,43,66,20,55,69,36,64,44,24,84,86,54,40,66,64,51,56,46,61,70,34,66,60,76,81,92,55,80,49,66,47,58,71,59,51,41,94,12,77,48,74,30,65,75,97,97,62,72,57,52,41,67,84,57,36,71,79,57,18,81,87,4,47,68,56,67,39,60,68,57,42,65,40,49,73,38,83,
247,54,65,33,63,19,35,62,23,65,65,98,47,64,35,70,92,44,77,74,62,89,31,76,34,36,87,91,87,80,38,73,55,66,5,58,40,47,66,68,38,60,41,46,38,34,69,62,82,43,35,78,58,59,51,36,58,30,55,69,59,60,53,60,38,47,46,85,28,78,45,30,49,51,41,81,38,81,98,80,87,34,31,93,47,68,62,31,75,40,94,37,36,68,49,31,75,38,64,34,36,41,98,35,88,78,77,86,69,61,76,53,69,54,58,41,63,78,30,1,75,94,75,7,45,67,21,57,70,37,65,45,25,85,87,55,41,67,65,53,57,47,62,72,35,67,61,77,82,94,56,81,50,67,48,59,72,60,53,42,95,13,78,49,75,31,66,77,98,98,63,74,58,54,43,68,85,58,37,73,80,59,19,83,88,5,49,69,57,68,40,61,70,58,43,66,41,51,74,39,84,
248,55,66,34,64,20,36,63,24,66,66,99,48,65,36,71,93,45,78,75,63,90,32,77,35,37,88,92,88,81,39,74,56,67,6,59,41,48,67,69,39,61,42,47,39,35,70,63,83,44,36,79,59,60,52,37,59,31,56,70,60,61,54,61,39,48,47,86,29,79,46,31,50,52,42,82,39,82,99,81,88,35,32,94,48,69,63,32,76,41,95,38,37,69,50,32,76,39,65,35,37,42,99,36,89,79,78,87,70,62,77,54,70,55,59,42,64,79,31,2,76,95,76,8,46,68,22,58,71,38,66,46,26,86,88,56,42,68,66,54,58,48,63,73,36,68,62,78,83,95,57,82,51,68,49,60,73,61,54,43,96,14,79,50,76,32,67,78,99,99,64,75,59,55,44,69,86,59,38,74,81,60,20,84,89,6,50,70,58,69,41,62,71,59,44,67,42,52,75,40,85,
249,56,67,35,65,21,37,64,25,67,67,0,49,66,37,72,94,46,79,76,64,91,33,78,36,38,89,93,89,82,40,75,57,68,7,60,42,49,68,70,40,62,43,48,40,36,71,64,84,45,37,80,60,61,53,38,60,32,57,71,61,62,55,62,40,49,48,87,30,80,47,32,51,53,43,83,40,83,0,82,89,36,33,95,49,70,64,33,77,42,96,39,38,70,51,33,77,40,66,36,38,43,0,37,90,80,79,88,71,63,78,55,71,56,60,43,65,80,32,3,77,96,77,9,47,69,23,59,72,39,67,47,27,87,89,57,43,69,67,55,59,49,64,74,37,69,63,79,84,96,58,83,52,69,50,61,74,62,55,44,97,15,80,51,77,33,68,79,0,0,65,76,60,56,45,70,87,60,39,75,82,61,21,85,90,7,51,71,59,70,42,63,72,60,45,68,43,53,76,41,86,
250,60,69,36,67,23,38,66,27,68,70,2,50,68,40,75,95,47,82,77,66,95,34,80,37,40,90,94,92,83,42,76,58,69,8,63,46,51,71,72,42,63,44,50,41,37,72,66,85,46,38,83,61,63,56,39,62,33,59,73,63,64,56,63,43,50,52,88,32,83,48,33,52,55,45,86,41,86,2,84,91,38,34,98,52,72,65,35,80,44,98,41,39,71,52,36,78,42,67,37,40,44,4,40,93,82,80,90,75,65,81,58,74,59,61,44,66,82,34,4,79,99,80,13,49,70,25,63,73,42,69,48,30,90,93,61,44,71,68,56,61,51,68,75,38,71,65,80,86,97,61,86,57,72,52,63,76,65,57,45,98,17,82,53,79,34,70,82,4,3,67,78,62,59,46,72,90,61,41,78,83,63,25,88,91,8,54,73,60,74,44,65,73,61,48,69,45,54,79,43,88,
251,61,70,37,68,24,39,67,28,69,71,3,51,69,41,76,96,48,83,78,67,96,35,81,38,41,91,95,93,84,43,77,59,70,9,64,47,52,72,73,43,64,45,51,42,38,73,67,86,47,39,84,62,64,57,40,63,34,60,74,64,65,57,64,44,51,53,89,33,84,49,34,53,56,46,87,42,87,3,85,92,39,35,99,53,73,66,36,81,45,99,42,40,72,53,37,79,43,68,38,41,45,5,41,94,83,81,91,76,66,82,59,75,60,62,45,67,83,35,5,80,0,81,14,50,71,26,64,74,43,70,49,31,91,94,62,45,72,69,57,62,52,69,76,39,72,66,81,87,98,62,87,58,73,53,64,77,66,58,46,99,18,83,54,80,35,71,83,5,4,68,79,63,60,47,73,91,62,42,79,84,64,26,89,92,9,55,74,61,75,45,66,74,62,49,70,46,55,80,44,89,
252,63,71,39,69,26,41,68,29,70,72,5,52,70,42,77,97,49,84,79,68,98,36,82,40,43,92,96,94,85,44,79,60,71,10,65,48,54,73,75,45,65,46,53,43,39,74,68,87,48,40,85,63,65,58,41,65,35,61,75,65,66,58,65,46,52,55,91,34,85,51,35,54,57,48,89,43,88,4,86,93,40,36,0,55,74,68,37,83,46,0,43,42,73,55,38,81,44,69,39,42,46,6,43,95,84,82,93,77,67,83,61,76,61,63,46,68,84,36,6,81,1,82,15,51,72,27,65,75,44,71,51,32,92,95,63,46,74,71,58,64,53,70,77,40,73,67,83,88,99,64,88,59,74,54,65,78,67,59,47,0,20,85,55,82,36,72,85,6,5,69,80,65,61,48,75,92,63,43,80,85,66,28,90,93,11,57,75,62,76,47,67,75,63,51,71,47,56,81,46,91,
253,64,73,42,71,27,42,70,31,72,75,7,53,71,43,79,99,50,85,81,69,99,39,84,42,44,93,99,96,87,45,80,62,72,12,66,49,56,74,76,46,67,47,54,46,41,75,70,88,49,41,88,64,68,60,42,67,37,63,77,67,68,59,67,47,55,57,92,35,87,52,36,55,59,49,91,45,89,6,87,94,41,37,1,57,75,69,39,85,48,1,44,43,75,56,39,82,46,72,41,43,48,7,44,97,86,84,95,78,69,85,62,79,64,65,47,69,86,37,9,82,3,84,17,52,75,28,66,76,45,73,52,34,94,98,65,47,75,72,60,66,54,71,79,42,74,69,86,89,0,65,89,60,75,56,66,79,68,62,48,1,22,86,57,84,38,74,86,7,8,70,83,67,62,50,76,93,65,44,82,86,68,29,93,94,14,59,76,64,77,48,68,76,65,52,72,48,57,84,47,92,
254,65,74,43,72,28,43,72,32,73,76,8,54,73,44,80,0,51,86,82,70,0,40,85,44,46,94,0,97,88,46,81,63,74,13,67,50,57,75,77,48,68,48,55,47,43,76,71,89,50,43,90,66,69,61,43,68,38,64,79,68,69,60,68,48,56,58,93,36,88,53,37,56,60,51,92,46,90,8,88,96,42,38,2,59,77,70,40,86,49,2,45,44,76,57,40,83,48,73,42,44,49,8,45,99,87,85,96,79,70,86,63,80,66,66,48,70,87,38,10,84,5,85,18,53,76,29,68,77,47,74,53,35,95,0,66,48,76,73,61,67,55,72,80,43,75,71,88,90,1,66,90,61,76,57,67,80,69,63,50,2,23,88,58,86,39,75,87,9,9,71,84,69,63,51,77,95,66,46,83,87,70,30,95,95,16,61,77,65,78,49,70,77,67,53,73,50,58,85,48,94,
255,67,75,45,74,30,44,74,33,74,78,11,55,74,45,83,2,54,88,83,72,3,43,87,47,48,95,2,98,91,48,83,64,76,16,69,51,59,76,79,49,70,49,57,49,47,78,73,91,52,45,91,67,72,62,45,70,39,65,81,70,70,61,71,49,57,61,94,39,89,55,38,60,63,53,95,49,94,9,90,99,43,40,3,60,78,71,42,89,51,4,46,45,77,61,42,85,49,74,45,46,50,11,47,0,88,87,97,80,72,87,65,82,67,67,50,72,89,39,11,87,7,87,19,54,80,31,69,78,48,76,55,37,96,1,68,50,78,74,62,68,57,74,83,46,78,72,90,92,4,69,92,62,79,58,68,83,72,65,52,4,24,89,59,87,41,76,88,12,13,73,86,72,64,52,78,97,68,47,85,88,72,31,97,99,18,62,79,66,79,50,72,79,68,55,74,52,61,86,49,95,
256,68,77,47,75,31,45,75,34,75,79,12,56,75,46,84,3,55,90,84,73,4,44,88,48,49,96,3,99,92,49,84,65,77,18,70,52,61,77,80,51,71,50,58,50,48,79,74,93,53,47,93,69,73,63,46,71,41,67,82,71,71,62,72,50,58,62,96,41,91,56,39,61,64,54,97,50,95,10,91,0,44,41,4,62,79,72,43,90,52,6,47,46,78,62,43,87,50,75,46,47,52,12,49,1,89,88,99,81,73,89,66,83,68,68,51,73,90,40,12,88,8,89,20,56,81,32,71,79,49,77,56,39,97,2,69,51,79,76,63,69,58,75,84,47,79,74,92,93,5,71,94,63,81,59,70,84,73,66,53,5,25,90,61,89,43,78,89,13,14,74,87,73,65,53,79,99,70,48,86,89,73,32,98,0,20,63,80,67,81,51,73,80,70,56,75,54,63,88,51,96,
257,70,78,49,76,32,47,76,36,76,80,15,57,77,47,85,4,56,91,85,75,6,45,89,49,50,97,4,0,93,50,86,67,78,21,71,53,63,79,81,52,72,51,61,51,50,80,76,95,54,48,94,71,74,64,48,72,43,68,84,72,72,64,73,52,60,63,97,42,92,58,40,62,65,55,98,51,97,12,92,2,45,42,5,63,81,73,44,92,54,7,48,47,79,64,44,88,52,76,47,48,54,13,50,2,90,90,0,83,74,91,69,84,69,70,53,75,91,41,13,89,9,91,22,58,82,33,72,81,52,79,57,40,98,4,71,52,80,77,65,70,59,77,85,49,81,76,93,94,6,72,95,64,83,61,72,86,74,67,54,7,26,91,62,91,45,79,90,16,15,75,88,74,66,55,80,0,71,50,87,91,74,33,0,1,21,65,82,70,82,52,74,81,72,58,76,55,64,90,53,97,
258,72,80,51,79,33,49,78,37,77,81,19,58,79,48,87,6,58,93,86,77,9,48,92,50,52,0,6,2,94,51,89,69,81,23,73,54,64,80,82,55,74,53,63,52,51,81,77,99,56,50,95,73,75,65,49,73,44,69,88,74,73,66,74,54,62,65,99,44,96,60,42,64,67,57,99,52,98,14,95,4,46,44,8,64,83,75,45,94,55,10,49,48,82,65,46,89,54,77,49,50,56,14,51,3,91,92,2,84,75,93,70,87,70,71,56,76,93,43,16,92,10,93,23,59,83,34,76,83,53,81,60,41,99,7,73,53,82,78,67,71,61,79,87,50,83,79,94,95,8,73,96,67,85,62,76,90,76,68,56,11,28,93,64,95,46,82,92,18,16,77,91,75,70,56,81,1,73,51,88,93,75,35,3,2,22,68,84,71,86,54,76,82,73,59,78,57,66,92,54,98,
259,74,81,52,80,34,51,79,38,78,83,21,59,81,49,88,7,59,94,87,78,11,49,93,51,53,1,7,4,95,52,90,70,83,25,74,55,65,81,83,56,75,54,64,53,52,82,78,0,57,51,96,74,76,66,50,74,45,70,89,75,75,67,75,55,63,66,0,45,97,61,43,66,68,58,0,53,99,15,96,6,47,45,9,65,85,76,46,96,56,11,50,49,84,66,47,90,55,79,50,51,57,15,53,4,92,93,4,85,77,94,71,88,71,72,57,77,95,44,17,93,12,95,24,61,84,35,77,84,54,83,61,42,0,9,74,54,83,80,68,72,63,81,88,52,84,80,95,96,9,74,97,68,86,63,77,91,77,70,57,12,29,94,65,96,47,83,93,19,17,78,92,76,71,57,82,2,75,52,89,94,77,36,4,4,24,69,85,72,87,55,77,83,74,60,79,58,67,93,55,99,
260,76,83,53,81,35,53,80,40,81,86,23,62,83,51,91,9,60,96,90,81,14,50,94,52,54,6,8,6,98,55,92,73,85,27,76,56,68,84,85,57,76,56,65,54,54,83,80,1,59,53,98,77,77,68,53,76,46,72,92,76,76,69,77,56,64,67,1,47,99,62,44,69,71,60,3,55,0,18,98,9,49,48,11,66,86,77,47,98,58,13,54,50,85,68,49,93,57,81,52,53,58,17,55,6,93,96,5,87,78,95,72,89,73,75,58,79,97,45,18,94,13,98,26,64,87,36,78,86,57,86,63,43,1,12,76,55,86,82,71,73,65,82,89,53,85,82,97,99,11,75,98,71,87,64,79,92,80,72,58,13,31,96,68,98,52,84,95,21,18,82,93,78,73,58,83,4,76,53,91,96,78,37,5,7,28,70,87,76,90,56,79,84,77,61,80,60,68,96,57,0,
261,77,84,54,82,36,54,81,41,82,87,25,63,85,53,93,10,61,98,91,82,15,51,95,53,55,7,10,8,99,56,94,75,86,29,78,57,71,85,87,58,77,58,66,55,55,85,81,3,60,54,99,80,79,69,54,78,47,74,93,77,77,71,78,58,65,68,2,49,0,64,46,70,73,61,5,56,1,20,0,11,51,49,12,67,88,78,49,99,60,14,55,51,86,69,51,94,58,82,53,54,60,18,56,7,95,98,6,89,79,97,74,90,76,76,59,80,99,46,20,95,15,0,27,66,88,37,79,88,58,87,64,44,3,13,77,56,87,83,72,75,66,83,90,54,86,83,99,0,13,76,0,72,88,66,81,93,82,74,60,14,32,99,69,99,53,85,96,22,19,83,94,79,74,59,85,5,77,54,92,99,79,38,7,10,29,71,88,78,91,57,80,85,78,62,82,61,70,99,58,1,
262,79,85,57,84,37,56,82,42,85,89,28,66,86,56,95,14,62,99,92,83,17,53,96,54,57,9,12,10,0,59,95,78,88,32,80,58,72,86,89,61,80,60,68,57,56,89,84,5,62,55,0,83,81,71,57,80,48,79,94,80,81,73,82,61,67,70,3,52,1,66,49,73,76,62,8,58,4,23,3,14,53,51,13,68,90,79,52,0,62,16,57,55,88,71,52,97,59,83,54,56,61,19,57,8,97,0,7,92,81,98,76,93,77,77,61,81,0,47,22,97,17,1,30,68,89,38,81,90,60,88,67,45,5,16,80,58,89,84,74,77,67,84,93,57,89,84,0,4,14,79,2,73,89,69,84,96,83,76,62,16,37,0,73,0,55,87,97,25,23,86,97,82,76,61,87,8,80,56,94,0,80,39,9,11,32,73,90,80,93,59,81,87,80,64,84,63,74,0,60,5,
263,82,87,60,86,41,59,85,43,88,93,30,67,87,58,98,17,63,0,95,86,20,55,98,55,59,14,16,13,3,62,98,79,92,35,81,63,76,88,92,62,82,63,74,60,58,94,87,6,66,57,3,86,83,75,62,84,53,82,96,83,85,76,83,63,69,72,8,53,3,67,50,76,79,64,10,59,8,25,7,17,56,53,18,71,93,82,56,1,65,21,60,58,90,75,54,99,61,88,56,61,64,23,59,10,99,2,11,93,85,99,77,95,81,79,64,87,4,51,26,0,22,3,34,70,90,40,83,92,62,91,70,48,8,19,86,61,91,87,77,79,72,85,98,58,91,90,2,8,17,83,8,78,91,73,86,99,86,77,64,17,43,2,75,5,58,91,98,29,26,91,0,86,80,66,91,10,84,61,98,3,85,42,13,14,36,76,94,81,96,62,86,91,83,67,89,65,76,3,63,9,
264,84,90,61,88,42,60,88,45,89,94,31,69,89,59,99,20,65,2,96,87,22,57,0,58,60,16,17,15,6,63,0,81,93,38,83,64,78,90,94,65,84,64,76,62,59,95,88,7,68,60,6,89,85,78,63,86,54,84,98,85,87,78,85,64,70,74,10,55,6,70,51,77,81,65,12,60,10,27,8,19,58,54,21,72,94,84,57,2,66,22,62,60,92,77,55,0,62,90,57,62,65,25,61,11,0,3,13,94,87,0,79,98,82,81,66,89,5,53,28,1,23,4,36,72,92,41,86,94,63,92,71,49,10,21,88,63,92,88,78,80,73,88,99,60,93,92,5,10,18,85,9,80,93,74,88,0,87,80,65,19,45,3,76,7,59,93,0,31,27,94,2,87,81,68,94,12,85,62,0,4,87,44,14,15,37,78,95,82,97,63,88,94,86,69,91,67,77,4,65,11,
265,88,92,62,91,45,62,91,47,93,96,32,72,90,62,0,23,66,7,0,89,23,59,3,60,61,19,18,18,9,64,2,83,96,41,87,66,80,92,97,66,89,66,79,64,62,97,91,10,69,63,8,92,89,82,65,87,56,86,0,88,89,80,87,66,73,76,14,57,8,71,53,80,83,68,14,64,12,29,12,21,60,56,23,73,96,87,58,6,68,23,64,61,97,81,57,2,65,96,58,63,68,28,64,14,1,4,15,95,89,4,81,99,84,87,68,92,8,56,31,4,28,7,40,76,96,42,89,97,64,93,73,50,13,23,91,64,95,94,81,83,77,91,0,62,95,95,7,13,23,89,11,85,97,77,89,3,89,82,67,21,46,5,78,8,61,96,4,32,31,98,4,89,84,69,96,13,89,66,4,7,90,45,17,16,40,81,0,85,99,65,90,97,88,71,93,68,78,6,67,15,
